,precision,accuracy,recall,f1,Type,Dist,label_imbalance,NumClasses
ArticularyWordRecognition,24.39306415,5.588993981,21.95544264,23.11020075,Motion,2061.423385,0.041666667,25
AtrialFibrillation,27.95404379,5.588993981,26.68626023,27.32262871,ECG,4338.80446,0.5,3
BasicMotions,22.56936423,5.24505589,22.79826538,22.73842089,HAR,1686.646,0.333333333,4
Cricket,26.69297295,4.729148753,21.90010271,24.09233201,HAR,5931.830233,0.090909091,12
EigenWorms,25.99117202,4.987102322,23.5053421,24.68611699,Motion,1.00E+12,0.753424658,5
Epilepsy,22.32285967,4.987102322,30.44191066,26.50864339,HAR,2462.124061,0.37,4
ERing,24.35014446,5.417024936,26.81299087,25.70053186,HAR,1389.167322,0.2,6
EthanolConcentration,29.06678665,5.503009458,29.93516384,29.58335536,Other,1.00E+12,0.338461538,4
FaceDetection,29.18616388,5.503009458,22.94531271,25.76560839,EEG,1357.222045,1,2
FingerMovements,23.39487952,5.159071367,17.83536691,20.33511559,EEG,1249.310381,1.012738854,2
HandMovementDirection,25.03211803,4.987102322,28.08229459,26.68694163,EEG,6847.925489,0.333333333,4
Handwriting,24.39910517,5.331040413,25.42853833,24.99699438,HAR,2117.843226,0.079136691,26
Heartbeat,26.12674034,5.331040413,29.03639736,27.70930375,Audio,3452.440191,2.578947368,2
LSST,30.06667858,5.760963027,27.51423616,28.73572367,Other,1085.082274,0.461950059,14
MotorImagery,23.96742624,5.417024936,21.70244126,22.77912259,EEG,9165.706198,1,2
NATOPS,26.94150744,5.674978504,29.65456809,28.42263252,HAR,1237.616756,0.2,6
PEMS-SF,25.09606673,5.331040413,29.1632719,27.27214768,MISC,2061.347381,0.197309417,7
PenDigits,32.9190166,6.018916595,26.94472783,29.67256728,Motion,776.0594288,0.116175156,10
PhonemeSpectra,23.02665086,5.24505589,25.53449237,24.39991618,Sound,2530.006465,0.026315789,39
RacketSports,24.07583656,4.64316423,24.89736012,24.56307492,HAR,99999999,0.398148148,4
SelfRegulationSCP1,26.78928643,5.588993981,29.52026832,28.27964235,EEG,4694.930392,1.015037594,2
SelfRegulationSCP2,24.96929943,5.24505589,30.2374278,27.75213667,EEG,5545.11494,1,2
StandWalkJump,27.20475399,4.987102322,28.44732006,27.91757313,ECG,8571.429302,0.5,3
UWaveGestureLibrary,25.53041134,5.674978504,25.93454108,25.79679862,HAR,3044.070111,0.142857143,8
