,precision,accuracy,recall,f1,Type,Dist,label_imbalance,NumClasses
ArticularyWordRecognition,8.887557004,0.945829751,0.664730261,4.288495315,Motion,2061.423385,0.041666667,25
AtrialFibrillation,6.583840154,0.859845228,0.488733384,3.214442551,ECG,4338.80446,0.5,3
BasicMotions,6.951253237,0.773860705,-0.739431508,2.652091209,HAR,1686.646,0.333333333,4
Cricket,9.477204951,1.031814273,-1.014704915,3.518722666,HAR,5931.830233,0.090909091,12
EigenWorms,5.918482603,1.031814273,0.501480947,2.935770545,Motion,1.00E+12,0.753424658,5
Epilepsy,2.381412413,0.257953568,-1.062619614,0.502065796,HAR,2462.124061,0.37,4
ERing,5.824551392,0.945829751,1.099334999,3.2359142,HAR,1389.167322,0.2,6
EthanolConcentration,3.472121832,0.343938091,-0.198268911,1.469639711,Other,1.00E+12,0.338461538,4
FaceDetection,10.46537583,1.031814273,0.557564941,4.872024901,EEG,1357.222045,1,2
FingerMovements,7.660199737,1.289767842,1.239101002,4.108363333,EEG,1249.310381,1.012738854,2
HandMovementDirection,10.17350012,1.289767842,0.804496264,4.901843075,EEG,6847.925489,0.333333333,4
Handwriting,6.898284396,1.117798796,1.46571564,3.91147668,HAR,2117.843226,0.079136691,26
Heartbeat,11.22634498,1.289767842,4.595313829,7.573353075,Audio,3452.440191,2.578947368,2
LSST,17.57448629,0.687876182,-0.031512354,7.235759374,Other,1085.082274,0.461950059,14
MotorImagery,19.42513127,0.773860705,-1.709736253,6.768713936,EEG,9165.706198,1,2
NATOPS,11.46825567,1.117798796,4.102058644,7.390518446,HAR,1237.616756,0.2,6
PEMS-SF,4.007934959,0.773860705,1.830133647,2.835317026,MISC,2061.347381,0.197309417,7
PenDigits,10.93758875,0.945829751,3.400957256,6.757011744,Motion,776.0594288,0.116175156,10
PhonemeSpectra,2.366641129,-0.60189166,1.311748541,1.802774899,Sound,2530.006465,0.026315789,39
RacketSports,7.513920008,0.859845228,3.802357493,5.501955068,HAR,99999999,0.398148148,4
SelfRegulationSCP1,2.145204289,1.54772141,-0.450564465,0.737572908,EEG,4694.930392,1.015037594,2
SelfRegulationSCP2,3.78236643,0.859845228,0.657305036,2.085657732,EEG,5545.11494,1,2
StandWalkJump,8.633479299,1.203783319,0.095221936,3.84500826,ECG,8571.429302,0.5,3
UWaveGestureLibrary,9.420949721,1.54772141,-0.468072441,3.82853321,HAR,3044.070111,0.142857143,8
